cycle,phase,step,t_ms,pause_no,servo6_q_target,servo6_q_measured,servo6_q_delta,servo7_q_target,servo7_q_measured,servo7_q_delta,servo8_q_target,servo8_q_measured,servo8_q_delta,servo9_q_target,servo9_q_measured,servo9_q_delta,middle_det_bit,index_det_bit
0,PAUSE,53,1129.8,0,0.5,0.49215,0.00785,0.5,0.50988,-0.00988,0.5,0.49121,0.00879,0.5,0.48743,0.01257,0,0
0,PAUSE,54,1151.4,0,0.5,0.49564,0.00436,0.5,0.5132,-0.0132,0.5,0.49121,0.00879,0.5,0.48936,0.01064,0,0
0,PAUSE,55,1174.0,0,0.5,0.49738,0.00262,0.5,0.51486,-0.01486,0.5,0.49295,0.00705,0.5,0.48936,0.01064,0,0
0,PAUSE,56,1193.2,0,0.5,0.49913,0.00087,0.5,0.51984,-0.01984,0.5,0.49469,0.00531,0.5,0.49323,0.00677,0,0
0,PAUSE,57,1213.9,0,0.5,0.50087,-0.00087,0.5,0.51652,-0.01652,0.5,0.49469,0.00531,0.5,0.48162,0.01838,0,0
0,PAUSE,58,1234.0,0,0.5,0.50087,-0.00087,0.5,0.51818,-0.01818,0.5,0.49643,0.00357,0.5,0.50484,-0.00484,0,0
0,PAUSE,59,1255.1,0,0.5,0.50087,-0.00087,0.5,0.5215,-0.0215,0.5,0.49643,0.00357,0.5,0.50097,-0.00097,0,0
0,PAUSE,60,1277.2,0,0.5,0.50262,-0.00262,0.5,0.51984,-0.01984,0.5,0.49643,0.00357,0.5,0.50097,-0.00097,0,0
0,PAUSE,61,1299.1,0,0.5,0.50262,-0.00262,0.5,0.51818,-0.01818,0.5,0.49643,0.00357,0.5,0.50097,-0.00097,0,0
0,PAUSE,62,1317.9,0,0.5,0.50087,-0.00087,0.5,0.51818,-0.01818,0.5,0.49643,0.00357,0.5,0.50097,-0.00097,0,0
0,PAUSE,63,1338.5,0,0.5,0.50262,-0.00262,0.5,0.51818,-0.01818,0.5,0.49643,0.00357,0.5,0.50097,-0.00097,0,0
0,PAUSE,64,1360.5,0,0.5,0.50262,-0.00262,0.5,0.51818,-0.01818,0.5,0.49643,0.00357,0.5,0.50097,-0.00097,0,0
0,PAUSE,65,1382.0,0,0.5,0.50262,-0.00262,0.5,0.51818,-0.01818,0.5,0.49643,0.00357,0.5,0.49903,0.00097,0,0
0,PAUSE,66,1401.1,0,0.5,0.50262,-0.00262,0.5,0.51818,-0.01818,0.5,0.49643,0.00357,0.5,0.49903,0.00097,0,0
0,PAUSE,67,1422.9,0,0.5,0.50262,-0.00262,0.5,0.51818,-0.01818,0.5,0.49643,0.00357,0.5,0.50097,-0.00097,0,0
0,PAUSE,68,1443.5,0,0.5,0.50262,-0.00262,0.5,0.51818,-0.01818,0.5,0.49643,0.00357,0.5,0.49903,0.00097,0,0
0,PAUSE,69,1464.8,0,0.5,0.50262,-0.00262,0.5,0.51984,-0.01984,0.5,0.49469,0.00531,0.5,0.50097,-0.00097,0,0
0,PAUSE,70,1484.8,0,0.5,0.50262,-0.00262,0.5,0.51818,-0.01818,0.5,0.49643,0.00357,0.5,0.50097,-0.00097,0,0
0,PAUSE,71,1506.8,0,0.5,0.50262,-0.00262,0.5,0.51818,-0.01818,0.5,0.49643,0.00357,0.5,0.50097,-0.00097,0,0
0,PAUSE,72,1528.8,0,0.5,0.50262,-0.00262,0.5,0.51984,-0.01984,0.5,0.49643,0.00357,0.5,0.50097,-0.00097,0,0
0,PAUSE,73,1550.0,0,0.5,0.50262,-0.00262,0.5,0.51818,-0.01818,0.5,0.49469,0.00531,0.5,0.49903,0.00097,0,0
0,PAUSE,74,1568.0,0,0.5,0.50262,-0.00262,0.5,0.51818,-0.01818,0.5,0.49643,0.00357,0.5,0.5029,-0.0029,0,0
0,PAUSE,75,1588.9,0,0.5,0.50262,-0.00262,0.5,0.51818,-0.01818,0.5,0.49469,0.00531,0.5,0.50097,-0.00097,0,0
0,PAUSE,76,1610.4,0,0.5,0.50262,-0.00262,0.5,0.51818,-0.01818,0.5,0.49643,0.00357,0.5,0.50097,-0.00097,0,0
0,PAUSE,77,1630.7,0,0.5,0.50262,-0.00262,0.5,0.51818,-0.01818,0.5,0.49643,0.00357,0.5,0.50097,-0.00097,0,0
0,PAUSE,78,1653.6,0,0.5,0.50262,-0.00262,0.5,0.51984,-0.01984,0.5,0.49817,0.00183,0.5,0.5029,-0.0029,0,0
0,PAUSE,79,1672.1,0,0.5,0.50262,-0.00262,0.5,0.51818,-0.01818,0.5,0.49643,0.00357,0.5,0.50097,-0.00097,0,0
0,PAUSE,80,1692.7,0,0.5,0.50436,-0.00436,0.5,0.51984,-0.01984,0.5,0.49643,0.00357,0.5,0.50097,-0.00097,0,0
0,PAUSE,81,1713.9,0,0.5,0.50262,-0.00262,0.5,0.51818,-0.01818,0.5,0.49469,0.00531,0.5,0.50097,-0.00097,0,0
0,MOVE,82,1734.8,-1,0.505,0.50262,0.00238,0.5,0.51818,-0.01818,0.505,0.49643,0.00857,0.5,0.49903,0.00097,0,0
0,MOVE,83,1759.6,-1,0.51,0.50436,0.00564,0.5,0.51818,-0.01818,0.51,0.49643,0.01357,0.5,0.49903,0.00097,0,0
0,MOVE,84,1779.2,-1,0.515,0.50262,0.01238,0.5,0.51818,-0.01818,0.515,0.49643,0.01857,0.5,0.50097,-0.00097,0,0
0,MOVE,85,1797.8,-1,0.52,0.50262,0.01738,0.5,0.51984,-0.01984,0.52,0.49643,0.02357,0.5,0.50097,-0.00097,0,0
0,MOVE,86,1819.5,-1,0.525,0.50436,0.02064,0.5,0.51984,-0.01984,0.525,0.49643,0.02857,0.5,0.50097,-0.00097,0,0
0,MOVE,87,1840.1,-1,0.53,0.50262,0.02738,0.5,0.51818,-0.01818,0.53,0.49469,0.03531,0.5,0.50097,-0.00097,0,0
